31,32,32,31,31,31,32,32,31,31,31,31,32,31,32,31,32,31,32,32,31,31,31,31,31,31,31,32,31,32,31,31,31,31,32,32,31,31,32,31,31,31,32,31,32,31,32,31,31,32,31,31,32,31,31,32,31,32,32,32,31,31,32,31,31,32,32,31,32,32,31,31,32,32,31,32,31,31,31,31,31,32,31,32,32,31,31,32,32,32,32,32,31,31,31,32,32,32,32,31
31,31,32,31,32,31,32,32,31,31,32,32,31,32,31,31,31,31,31,31,32,31,31,32,31,31,32,32,32,32,32,32,31,32,32,32,32,31,31,31,31,32,31,31,32,32,32,31,31,32,31,31,31,31,32,32,31,31,32,32,31,32,31,31,32,31,31,32,31,32,32,31,32,31,32,31,31,31,31,32,32,32,31,32,32,31,32,32,32,31,31,32,31,32,32,31,32,32,31,31
32,31,31,32,32,32,31,32,32,32,31,31,32,31,31,32,31,31,31,31,31,32,31,31,32,32,31,31,32,32,32,31,32,31,32,32,32,32,31,32,32,31,31,31,32,32,31,31,32,32,31,32,31,32,32,31,31,32,31,31,32,31,32,31,32,32,31,31,32,31,32,32,32,31,31,31,32,32,31,32,32,32,31,32,32,32,31,32,31,32,32,32,31,32,31,31,32,32,32,31
31,32,31,31,31,32,31,32,32,32,32,32,31,32,31,31,31,32,32,31,32,32,31,32,32,32,31,31,32,32,32,32,32,31,32,32,32,32,32,32,32,32,31,31,31,32,32,31,31,31,32,31,32,32,32,32,32,31,32,32,31,31,31,32,32,31,31,31,32,32,31,31,32,32,32,31,32,31,31,31,32,32,31,32,31,32,31,31,32,31,32,31,32,31,32,31,31,31,31,31
31,32,32,32,32,32,31,31,31,32,32,31,31,31,32,31,31,32,32,31,31,31,32,32,32,32,31,32,31,31,31,31,31,31,31,31,31,31,32,31,32,32,32,32,31,31,31,31,31,32,32,32,32,31,31,31,31,31,32,32,32,31,32,31,31,32,31,31,31,31,31,32,31,32,32,31,31,32,32,31,32,31,31,32,31,32,32,32,32,32,32,32,31,31,31,31,31,31,32,32
32,32,32,32,31,31,32,32,32,32,32,31,32,32,32,32,32,32,32,31,32,32,31,32,31,32,32,32,31,31,32,32,31,32,31,32,32,32,32,32,32,32,32,32,32,32,31,31,32,32,31,32,31,31,32,32,32,31,32,31,31,31,31,32,31,32,31,32,32,31,31,32,32,32,32,32,32,32,31,31,31,32,32,31,31,32,32,32,31,32,31,32,31,31,32,32,31,32,31,31
31,32,31,31,32,32,31,31,32,32,31,31,31,31,31,31,32,32,31,32,32,31,32,31,32,31,32,31,31,32,32,32,31,32,32,32,31,31,32,31,31,31,31,32,32,32,32,31,31,32,31,31,31,32,32,31,31,32,31,31,32,32,32,31,31,31,32,31,32,32,31,31,31,31,31,32,32,32,31,31,31,32,31,31,32,32,32,32,32,32,31,31,32,32,32,32,32,32,32,32
32,32,31,31,32,32,32,32,32,32,31,32,31,31,31,32,31,31,31,32,32,31,32,32,32,31,31,31,32,32,31,32,31,32,32,32,32,32,31,32,31,32,32,31,31,31,31,31,31,32,32,31,32,32,32,31,31,31,31,31,31,32,31,31,32,31,32,31,32,31,31,32,32,32,32,31,32,32,31,31,31,32,31,32,32,31,31,31,32,31,31,32,32,31,31,32,31,31,32,32
32,32,31,32,31,32,32,32,32,31,32,32,31,32,32,31,31,31,31,31,31,31,31,32,32,31,31,32,32,32,32,32,31,31,31,31,32,31,32,32,31,32,31,32,31,32,32,32,32,32,31,32,31,31,32,32,32,31,31,31,31,31,31,32,32,31,31,31,31,31,31,32,31,32,32,31,32,31,32,31,32,32,31,32,32,31,32,31,32,31,32,32,31,31,31,31,32,31,32,31
31,32,32,32,31,32,32,32,32,31,31,32,32,32,32,32,32,32,31,31,32,32,32,32,31,31,32,32,31,32,31,32,31,32,31,32,32,31,32,31,31,31,32,32,32,31,32,31,31,32,31,32,31,32,31,31,31,31,31,32,32,31,32,32,31,31,32,31,32,31,32,31,31,32,31,32,31,31,32,31,31,31,32,32,31,32,31,31,31,31,32,31,32,31,31,32,32,32,31,31
